"Name","Active","Date","Operator","Description","href","Type","Fields","Pools","Order_Num","Order_Amendment","Order_Amendment_Num","Pool_Count_0","Pool_Count","Oil_Pool_Count","Gas_Pool_Count","Field_Count_0","Field_Count","Start_Page","Stop_Page"
"AEO 9","TRUE","2003-04-03","Marathon Oil Company","Aquifer exemption for aquifers below a depth of 1750 feet for purposes of Class II disposal in the Sterling Unit 43-9 well.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAEOs%5CAEO%20009%22}","AEO","STERLING","UNDEFINED WDSP","9","","",FALSE,1,0,0,FALSE,1,1,48
"AEO 10","TRUE","2004-10-06","Envirotech LLC","Order granting an aquifer exemption beginning at the ground surface for purposes of Class II disposal of treated, produced water using a waste-water drain field installed at Envirotech's North Foreland Facility site.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAEOs%5CAEO%20010%22}","AEO","NICOLAI CREEK","SOUTH UNDEF GAS STORAGE","10","","",FALSE,1,0,1,FALSE,1,1,250
"AEO 11","TRUE","2004-12-07","Union Oil Company of California","Aquifer Exemption for portions of the Deep Creek Unit in Township 2 South, Range 13 West, SM, Kenai.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAEOs%5CAEO%20011%22}","AEO","DEEP CREEK","HV BELUGA/TYONEK GAS","11","","",FALSE,1,0,1,FALSE,1,1,187
"AEO 12","TRUE","2010-04-16","Aurora Gas LLC.","Authorization for portions of Section 29, Township 11N, Range 12W, Seward Meridian (SM), below 2000' true vertical depth (TVD) within the Nicolai Creek Unit (NCU), Kenai Peninsula Borough, Alaska.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAEOs%5CAEO%20012%22}","AEO","NICOLAI CREEK","SOUTH UNDEF UPPER TYONEK GAS","12","","",FALSE,1,0,1,FALSE,1,1,107
"AEO 13","TRUE","2010-11-17","Cook Inlet Natural Gas Storage Alaska, LLC","Cannery Loop Unit: Aquifer Exemption, TN 05 N, R 11W, SM.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAEOs%5CAEO%20013%22}","AEO","KENAI C.L.U.","TYONEK D GAS","13","","",FALSE,1,0,1,FALSE,1,1,813
"AEO 14","TRUE","2011-06-20","Union Oil Company of California","Aquifer Exemption for Ivan River Unit.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAEOs%5CAEO%20014%22}","AEO","IVAN RIVER","UNDEFINED GAS","14","","",FALSE,1,0,1,FALSE,1,1,102
"AEO 15","TRUE","2012-10-22","Buccaneer Alaskan Operations, LLC","Aquifer Exemption Order for the Kenai Loop Field.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAEOs%5CAEO%20015%22}","AEO","KENAI LOOP","UNDEFINED GAS","15","","",FALSE,1,0,1,FALSE,1,1,135
"AEO 16","FALSE",NA,"Bluecrest Alaska Operating LLC","W/D. Withdrawn","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAEOs%5CAEO%20016%22}","AEO","HANSEN","HANSEN OIL","16","","",FALSE,1,1,0,FALSE,1,1,78
"AEO 17","TRUE","2022-07-20","Vision Operating, LLC","Aquifer Exemption Order for Tyonek Formation aquifers within the North Fork Unit in Sections 25, 26, 35, and 36, Township 4 South, Range 14 West, Seward Meridian, in conformance with 20 AAC 25.440.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAEOs%5CAEO%20017%22}","AEO","NORTH FORK","TYONEK GAS","17","","",FALSE,1,0,1,FALSE,1,1,186
"AEO 18","TRUE","2024-12-10","Hilcorp Alaska, LLC","AEO for the Beluga 135 aquifer within a one-quarter mile radius of that same aquifer open to the Susan Dionne 8 well within the Ninilchik Unit","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAEOs%5CAEO%20018%22}","AEO","NINILCHIK","","18","","",TRUE,0,0,0,FALSE,1,1,320
"AIO 1","TRUE","1986-05-30","Standard","ENDICOTT OIL POOL: Authorizes underground injection for enhanced recovery in the Endicott Oil Pool and for disposal of oil field waste on an area basis in the Endicott Field. Amended on 1991-04-24.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20001%22}","AIO","ENDICOTT","ENDICOTT OIL","1","","",FALSE,1,1,0,FALSE,1,1,513
"AIO 1 .001","FALSE","1986-10-27","Standard","ENDICOTT OIL POOL: Amends rule 7 of AIO 1.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO1.001%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20001%22}","AIO","ENDICOTT","ENDICOTT OIL","1","1","",FALSE,1,1,0,FALSE,1,17,513
"AIO 1 .002","FALSE","2004-09-16","BP Exploration (Alaska) Inc.","ENDICOTT OIL POOL: Administrative Approval Endicott 2-34/P-14 (PTD 186-172). Cancelled on 2007-01-30.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO1.002%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20001%22}","AIO","ENDICOTT","ENDICOTT OIL","1","2","",FALSE,1,1,0,FALSE,1,23,513
"AIO 1 .003","FALSE","2004-11-18","BP Exploration (Alaska) Inc.","ENDICOTT OIL POOL: Administrative Approval Endicott 2-54/Q12 (PTD 191-122). Cancelled on 2007-03-13.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO1.003%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20001%22}","AIO","ENDICOTT","ENDICOTT OIL","1","3","",FALSE,1,1,0,FALSE,1,30,513
"AIO 1 .004","TRUE","2005-08-05","BP Exploration (Alaska) Inc.","Administrative Approval Duck Island Unit MPI 5-02/SD10.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO1.004%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20001%22}","AIO","ENDICOTT","ENDICOTT OIL","1","4","",FALSE,1,1,0,FALSE,1,32,513
"AIO 1 .005","FALSE","2005-12-13","BP Exploration (Alaska) Inc.","ENDICOTT OIL POOL: Administrative Approval to inject water into the subject well End 1-37/P-24. Cancelled on 2007-03-13.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO1.005%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20001%22}","AIO","ENDICOTT","ENDICOTT OIL","1","5","",FALSE,1,1,0,FALSE,1,43,513
"AIO 1 .006","TRUE","2006-02-28","BP Exploration (Alaska) Inc.","ENDICOTT OIL POOL: Administrative Approval End 1-15/P25 to inject gas.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO1.006%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20001%22}","AIO","ENDICOTT","ENDICOTT OIL","1","6","",FALSE,1,1,0,FALSE,1,49,513
"AIO 1 .007","TRUE","2007-09-17","BP Exploration (Alaska) Inc.","ENDICOTT OIL POOL: Administrative Approval Endicott 5-01/SD7.  Revised-Amended 11-1-10.  Second Amendment 8/1/19. Amended on 2019-08-01.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO1.007%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20001%22}","AIO","ENDICOTT","ENDICOTT OIL","1","7","",FALSE,1,1,0,FALSE,1,60,513
"AIO 1 .008","FALSE","2008-09-19","BP Exploration (Alaska) Inc.","ENDICOTT OIL POOL: Administrative Approval to continue gas injection into PBU I-15/P25.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO1.008%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20001%22}","AIO","ENDICOTT","ENDICOTT OIL","1","8","",FALSE,1,1,0,FALSE,1,77,513
"AIO 1 .009","TRUE","2008-10-20","BP Exploration (Alaska) Inc.","ENDICOTT OIL POOL: Administrative Approval to continue gas injection into Duck Island Unit I-05/0-20. BPXA granted a permanent revision to the anniversary date for mechanical integrity tests (MIT) on 6/12/2009. Amended on 2010-11-04.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO1.009%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20001%22}","AIO","ENDICOTT","ENDICOTT OIL","1","9","",FALSE,1,1,0,FALSE,1,85,513
"AIO 1 .010","TRUE","2009-04-07","BP Exploration (Alaska) Inc.","ENDICOTT OIL POOL: Administrative Approval to continue water injection into Duck Island Unit 3-01/N-29.  BPXA granted a permanent revision to the anniversary date for mechanical integrity tests (MIT) on 6/12/2009.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO1.010%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20001%22}","AIO","ENDICOTT","ENDICOTT OIL","1","10","",FALSE,1,1,0,FALSE,1,99,513
"AIO 1 .011","TRUE","2009-08-25","BP Exploration (Alaska) Inc.","ENDICOTT OIL POOL: Authorization to continue water injection into Endicott 3-35.  Amended 7/19/12. Amended on 2012-07-19.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO1.011%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20001%22}","AIO","ENDICOTT","ENDICOTT OIL","1","11","",FALSE,1,1,0,FALSE,1,111,513
"AIO 1 .012","TRUE","2011-08-01","BP Exploration (Alaska) Inc.","SAG/IVISHAK UNDEF OIL Pool: Amended Rule 2 authorizing injection strata for disposal depth reference correction. Amended","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO1.012%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20001%22}","AIO","ENDICOTT","SAG/IVISHAK UNDEF OIL","1","12","",FALSE,1,1,0,FALSE,1,119,513
"AIO 1 .013","TRUE","2012-07-17","BP Exploration (Alaska) Inc.","ENDICOTT OIL POOL: Administrative approval granting operator to continue water only injection into DIU 3-49A/M-40. Amended on 2012-07-19.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO1.013%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20001%22}","AIO","ENDICOTT","ENDICOTT OIL","1","13","",FALSE,1,1,0,FALSE,1,123,513
"AIO 1 .014","TRUE","2020-04-22","Hilcorp Alaska, LLC","Administrative approval to amend Rule 1 to allow the use of non-hazardous treated sewage wastewater for enhanced oil recovery purposes..","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO1.014%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20001%22}","AIO","ENDICOTT","ENDICOTT OIL, IVISHAK OIL","1","14","",FALSE,2,2,0,FALSE,1,131,513
"AIO 1 .015","TRUE","2020-06-04","Hilcorp Alaska, LLC","Administrative approval to allow well 4-26A (PTD 2180810) to continue gas injection service with a known inner annulus repressurization.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO1.015%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20001%22}","AIO","ENDICOTT","ENDICOTT OIL","1","15","",FALSE,1,1,0,FALSE,1,134,513
"AIO 1 .016","TRUE","2022-11-15","Hilcorp Alaska, LLC","Admin approval Gas Injection, Duck Island Unit (DIU) MPI 1-09A (PTD 1970290), Endicott Oil Pool Amended","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO1.016%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20001%22}","AIO","ENDICOTT","ENDICOTT OIL","1","16","",FALSE,1,1,0,FALSE,1,137,513
"AIO 2","FALSE","1986-06-06","ARCO Alaska Inc.","Area Injection Order Kuparuk River Unit.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20002%22}","AIO","KUPARUK RIVER","KUPARUK RIVER OIL","2","","",FALSE,1,1,0,FALSE,1,1,174
"AIO 2 .001","FALSE","1986-10-27","ARCO Alaska Inc.","KUPARUK RIVER OIL POOL, WEST SAK OIL POOL: Revoked by CO AIO 2A.  Amends Rule 3 AIO 002 re injection fluids. Cancelled","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO2.001%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20002%22}","AIO","KUPARUK RIVER","KUPARUK RIVER OIL, WEST SAK OIL","2","1","",FALSE,2,2,0,FALSE,1,14,174
"AIO 2 .002","FALSE","1986-10-27","ARCO Alaska Inc.","TABASCO OIL POOL, WEST SAK OIL POOL: Revoked by CO AIO 2A.  Amends Rule 7, AIO 002 re pressure communication or leakage. Cancelled","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO2.002%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20002%22}","AIO","KUPARUK RIVER","TABASCO OIL, WEST SAK OIL","2","2","",FALSE,2,2,0,FALSE,1,13,174
"AIO 2 .003","FALSE","1988-07-07","ARCO Alaska Inc.","KUPARUK RIVER OIL POOL, WEST SAK OIL POOL: Revoked by CO 2A.  Amends Rule 2, AIO 002 re injection non-hazardous fluid disposal to allow disposal into Upper Ugnu non-oil bearing sands. Cancelled","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO2.003%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20002%22}","AIO","KUPARUK RIVER","KUPARUK RIVER OIL, WEST SAK OIL","2","3","",FALSE,2,2,0,FALSE,1,12,174
"AIO 2 .004","FALSE","1988-12-20","ARCO Alaska Inc.","KUPARUK RIVER OIL POOL, TABASCO OIL POOL, WEST SAK OIL POOL: Revoked by CO AIO 2A.  Amends Rule 6, AIO 002 - allow RTSs as alternate method MIT. Cancelled","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO2.004%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20002%22}","AIO","KUPARUK RIVER","KUPARUK RIVER OIL, TABASCO OIL, WEST SAK OIL","2","4","",FALSE,3,3,0,FALSE,1,10,174
"AIO 2 .005","FALSE","1991-12-27","ARCO Alaska Inc.","KUPARUK RIVER OIL POOL, TABASCO OIL POOL, WEST SAK OIL POOL: Revoked by AIO 2A.  Amends Rule 2 of AIO 002. Cancelled","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO2.005%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20002%22}","AIO","KUPARUK RIVER","KUPARUK RIVER OIL, TABASCO OIL, WEST SAK OIL","2","5","",FALSE,3,3,0,FALSE,1,9,174
"AIO 2 .006","FALSE","1994-01-27","ARCO Alaska Inc.","KUPARUK RIVER OIL POOL, TABASCO OIL POOL, WEST SAK OIL POOL: Revoked by CO AIO 2A.  Amend rule 6, AIO 002 to allow additional means for demonstrating mech integrity of inj wells. Cancelled","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO2.006%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20002%22}","AIO","KUPARUK RIVER","KUPARUK RIVER OIL, TABASCO OIL, WEST SAK OIL","2","6","",FALSE,3,3,0,FALSE,1,7,174
"AIO 2 A","TRUE","1998-06-04","BP Exploration (Alaska) Inc.","KUPARUK RIVER OIL POOL, TABASCO OIL POOL, WEST SAK OIL POOL: Approval of a pilot waterflood project within the Tabasco accumulation in KRU. Consolidates AIO 2 and amendments.12/21/2011 Administrative approval to continue water injection into KRU 3Q-01.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20002%20A%22}","AIO","KUPARUK RIVER","KUPARUK RIVER OIL, TABASCO OIL, WEST SAK OIL","2","A","",FALSE,3,3,0,FALSE,1,1,45
"AIO 2 B","TRUE","2002-12-12","ConocoPhillips Alaska, Inc.","KUPARUK RIVER OIL POOL, TABASCO OIL POOL, WEST SAK OIL POOL: Order to expand the affected area of AIO 2A for Kuparuk River Oil Pool.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20002%20B%22}","AIO","KUPARUK RIVER","KUPARUK RIVER OIL, TABASCO OIL, WEST SAK OIL","2","B","",FALSE,3,3,0,FALSE,1,1,2265
"AIO 2 B .001","TRUE","2003-07-21","ConocoPhillips Alaska, Inc.","WEST SAK OIL POOL: Approval of a Small Scale Enhanced oil recovery (SSEOR).","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO2B.001%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20002%20B%22}","AIO","KUPARUK RIVER","WEST SAK OIL","2","B","1",FALSE,1,1,0,FALSE,1,24,2265
"AIO 2 B .002","TRUE","2005-01-14","ConocoPhillips Alaska, Inc.","KUPARUK RIVER OIL POOL: Administrative Approval KRU 2Z-16 (PTD 185-109).  Amended the MIT anniversary date. Amended on 2017-03-30.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO2B.002%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20002%20B%22}","AIO","KUPARUK RIVER","KUPARUK RIVER OIL","2","B","2",FALSE,1,1,0,FALSE,1,26,2265
"AIO 2 B .003","TRUE","2005-03-29","ConocoPhillips Alaska, Inc.","KUPARUK RIVER OIL POOL: Administrative Approval to allow disposal injection into the Upper Ugru C Sand within Section 26, 27, 34 and 35 of T11N, R10E, UM.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO2B.003%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20002%20B%22}","AIO","KUPARUK RIVER","KUPARUK RIVER OIL","2","B","3",FALSE,1,1,0,FALSE,1,31,2265
"AIO 2 B .004","FALSE","2006-02-06","ConocoPhillips Alaska, Inc.","KUPARUK RIVER OIL POOL: Administrative Approval under Rule 9.  Revised on 9/5/07.  Amended the MIT anniversary date.  Cancelled. Cancelled on 2017-03-30.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO2B.004%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20002%20B%22}","AIO","KUPARUK RIVER","KUPARUK RIVER OIL","2","B","4",FALSE,1,1,0,FALSE,1,38,2265
"AIO 2 B .005","TRUE","2006-05-08","ConocoPhillips Alaska, Inc.","KUPARUK RIVER OIL POOL: Approval to allow continued water injection in service well KRU 3Q-21.  Amended the MIT anniversary date. Amended on 2017-03-30.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO2B.005%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20002%20B%22}","AIO","KUPARUK RIVER","KUPARUK RIVER OIL","2","B","5",FALSE,1,1,0,FALSE,1,54,2265
"AIO 2 B .006","FALSE","2006-06-21","ConocoPhillips Alaska, Inc.","KUPARUK RIVER OIL POOL: Administrative Approval KRU 1H-07 for continued water injection into well. Cancelled on 2008-01-15.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO2B.006%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20002%20B%22}","AIO","KUPARUK RIVER","KUPARUK RIVER OIL","2","B","6",FALSE,1,1,0,FALSE,1,59,2265
"AIO 2 B .007","FALSE","2006-06-21","ConocoPhillips Alaska, Inc.","KUPARUK RIVER OIL POOL: Administrative Approval KRU 2C-07 for continued water injection into well.  Amended 7/28/06.  Amended the MIT anniversary date. Cancelled on 2018-02-07.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO2B.007%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20002%20B%22}","AIO","KUPARUK RIVER","KUPARUK RIVER OIL","2","B","7",FALSE,1,1,0,FALSE,1,67,2265
"AIO 2 B .008","FALSE","2006-06-21","ConocoPhillips Alaska, Inc.","KUPARUK RIVER OIL POOL: Administrative Approval KRU 3A-06 for continued water injection into well. Cancelled on 2009-01-05.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO2B.008%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20002%20B%22}","AIO","KUPARUK RIVER","KUPARUK RIVER OIL","2","B","8",FALSE,1,1,0,FALSE,1,77,2265
"AIO 2 B .009","FALSE","2006-06-21","ConocoPhillips Alaska, Inc.","KUPARUK RIVER OIL POOL: Administrative Approval KRU 3H-09 for continued water injection into well. Cancelled on 2011-09-21.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:TextBox~=%22AIO2B.009%22}|{LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAIOs%5CAIO%20002%20B%22}","AIO","KUPARUK RIVER","KUPARUK RIVER OIL","2","B","9",FALSE,1,1,0,FALSE,1,90,2265
